parcellation,space,level,n_parcels,symmetric,resolution,publication,license
Schaefer100Parcels7Networks,MNI152NLin6Asym,cortex,100,False,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
Schaefer100Parcels7Networks,MNI152NLin2009cAsym,cortex,100,False,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
Schaefer100Parcels7Networks,fsaverage,cortex,100,False,41k,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
Schaefer100Parcels7Networks,fsLR,cortex,100,False,32k,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
Schaefer100Parcels17Networks,MNI152NLin6Asym,cortex,100,False,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
Schaefer100Parcels17Networks,MNI152NLin2009cAsym,cortex,100,False,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
Schaefer100Parcels17Networks,fsaverage,cortex,100,False,41k,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
Schaefer100Parcels17Networks,fsLR,cortex,100,False,32k,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
Schaefer200Parcels7Networks,MNI152NLin6Asym,cortex,200,False,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
Schaefer200Parcels7Networks,MNI152NLin2009cAsym,cortex,200,False,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
Schaefer200Parcels7Networks,fsaverage,cortex,200,False,41k,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
Schaefer200Parcels7Networks,fsLR,cortex,200,False,32k,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
Schaefer200Parcels17Networks,MNI152NLin6Asym,cortex,200,False,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
Schaefer200Parcels17Networks,MNI152NLin2009cAsym,cortex,200,False,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
