,disorder,age_group,subtype,n_cases,n_controls,doi,n_cases_subvol,n_controls_subvol,doi_subvol,enigma_file,enigma_file_subvol
dx-mdd_age-adult_pub-schmaal2017,MDD,adult,,1902.0,7657.0,10.1038/mp.2016.60,1700.0,7060.0,10.1038/mp.2015.69,mddadult_case-controls_CortSurf,mdd_case-controls_SubVol
dx-mdd_age-adolescent_pub-schmaal2017,MDD,adolescent,,213.0,294.0,10.1038/mp.2016.60,,,,mddadolescent_case-controls_CortSurf,
dx-adhd_age-allages_pub-hoogman2019,ADHD,allages,,2246.0,1933.0,10.1176/appi.ajp.2018.18091016,1660.0,1497.0,10.1016/S2215-0366(16)30386-4,adhdallages_case-controls_CortSurf,adhdallages_case-controls_SubVol
dx-adhd_age-adult_pub-hoogman2019,ADHD,adult,,733.0,539.0,10.1176/appi.ajp.2018.18091016,510.0,420.0,10.1016/S2215-0366(16)30386-4,adhdadult_case-controls_CortSurf,adhdadult_case-controls_SubVol
dx-adhd_age-adolescent_pub-hoogman2019,ADHD,adolescent,,432.0,347.0,10.1176/appi.ajp.2018.18091016,329.0,228.0,10.1016/S2215-0366(16)30386-4,adhdadolescent_case-controls_CortSurf,adhdadolescent_case-controls_SubVol
dx-adhd_age-pediatric_pub-hoogman2019,ADHD,pediatric,,1081.0,1048.0,10.1176/appi.ajp.2018.18091016,836.0,854.0,10.1016/S2215-0366(16)30386-4,adhdpediatric_case-controls_CortSurf,adhdpediatric_case-controls_SubVol
dx-bd_age-adult_pub-hibar2018,BD,adult,,1837.0,2582.0,10.1038/s41380-018-0033-x,,2525.0,10.1038/mp.2015.154,bd_case-controls_CortSurf_adult,bd_case-controls_SubVol_typeI
dx-bd_age-adolescent_pub-hibar2018,BD,adolescent,,410.0,1035.0,10.1038/s41380-018-0033-x,,,,bd_case-controls_CortSurf_adolescent,
dx-scz_pub-vanerp2018,SCZ,,,4426.0,5054.0,10.1016/j.biopsych.2017.08.017,,,10.1038/mp.2015.61,scz_case-controls_CortSurf,scz_case-controls_SubVol
dx-ocd_age-adult_pub-boedhoe2018,OCD,adult,,1496.0,1434.0,10.1176/appi.ajp.2017.17030297,1491.0,1466.0,10.1176/appi.ajp.2016.16020201,ocdadults_case-controls_CortSurf,ocdadult_case-controls_SubVol
dx-ocd_age-pediatric_pub-boedhoe2018,OCD,pediatric,,405.0,324.0,10.1176/appi.ajp.2017.17030297,330.0,284.0,10.1176/appi.ajp.2016.16020201,ocdpediatric_case-controls_CortSurf,ocdpediatric_case-controls_SubVol
dx-22q_pub-sun2020,22q11.2DS,,,,,10.1038/s41380-020-0717-9,437.0,330.0,10.1176/appi.ajp.2019.19060638,22q_case-controls_CortSurf,22q_case-controls_SubVol
dx-an_pub-walton2022,AN,,,684.0,962.0,10.1016/j.biopsych.2022.02.006,685.0,962.0,10.1016/j.biopsych.2022.02.006,anorexia_case-controls_CortSurf,anorexia_case-controls_SubVol
dx-an_subtype-acAN_pub-walton2022,AN,,acAN,224.0,398.0,10.1016/j.biopsych.2022.02.006,224.0,398.0,10.1016/j.biopsych.2022.02.006,anorexia_acAN-controls_CortSurf,anorexia_acAN-controls_SubVol
dx-an_subtype-pwrAN_pub-walton2022,AN,,pwrAN,250.0,559.0,10.1016/j.biopsych.2022.02.006,251.0,558.0,10.1016/j.biopsych.2022.02.006,anorexia_pwrAN-controls_CortSurf,anorexia_pwrAN-controls_SubVol
dx-antisocial_pub-gao2024,AsPD,,,1170.0,1235.0,,1180.0,1249.0,,Antisocial_case-controls_CortSurf,Antisocial_case-controls_SubVol
dx-pd_pub-laansma2021,PD,,,2318.0,1176.0,10.1002/mds.28706,2343.0,1173.0,10.1002/mds.28706,parkinsons_case-controls_CortSurf_PDvsCN,parkinsons_case-controls_Subvol_PDvsCN
