map,1_LH_CX_Vis_1,2_LH_CX_Vis_2,3_LH_CX_Vis_3,4_LH_CX_Vis_4,5_LH_CX_Vis_5,6_LH_CX_Vis_6,7_LH_CX_Vis_7,8_LH_CX_Vis_8,9_LH_CX_Vis_9,10_LH_CX_SomMot_1,11_LH_CX_SomMot_2,12_LH_CX_SomMot_3,13_LH_CX_SomMot_4,14_LH_CX_SomMot_5,15_LH_CX_SomMot_6,16_LH_CX_DorsAttn_Post_1,17_LH_CX_DorsAttn_Post_2,18_LH_CX_DorsAttn_Post_3,19_LH_CX_DorsAttn_Post_4,20_LH_CX_DorsAttn_Post_5,21_LH_CX_DorsAttn_Post_6,22_LH_CX_DorsAttn_PrCv_1,23_LH_CX_DorsAttn_FEF_1,24_LH_CX_SalVentAttn_ParOper_1,25_LH_CX_SalVentAttn_FrOperIns_1,26_LH_CX_SalVentAttn_FrOperIns_2,27_LH_CX_SalVentAttn_PFCl_1,28_LH_CX_SalVentAttn_Med_1,29_LH_CX_SalVentAttn_Med_2,30_LH_CX_SalVentAttn_Med_3,31_LH_CX_Limbic_OFC_1,32_LH_CX_Limbic_TempPole_1,33_LH_CX_Limbic_TempPole_2,34_LH_CX_Cont_Par_1,35_LH_CX_Cont_PFCl_1,36_LH_CX_Cont_pCun_1,37_LH_CX_Cont_Cing_1,38_LH_CX_Default_Temp_1,39_LH_CX_Default_Temp_2,40_LH_CX_Default_Par_1,41_LH_CX_Default_Par_2,42_LH_CX_Default_PFC_1,43_LH_CX_Default_PFC_2,44_LH_CX_Default_PFC_3,45_LH_CX_Default_PFC_4,46_LH_CX_Default_PFC_5,47_LH_CX_Default_PFC_6,48_LH_CX_Default_PFC_7,49_LH_CX_Default_pCunPCC_1,50_LH_CX_Default_pCunPCC_2,51_RH_CX_Vis_1,52_RH_CX_Vis_2,53_RH_CX_Vis_3,54_RH_CX_Vis_4,55_RH_CX_Vis_5,56_RH_CX_Vis_6,57_RH_CX_Vis_7,58_RH_CX_Vis_8,59_RH_CX_SomMot_1,60_RH_CX_SomMot_2,61_RH_CX_SomMot_3,62_RH_CX_SomMot_4,63_RH_CX_SomMot_5,64_RH_CX_SomMot_6,65_RH_CX_SomMot_7,66_RH_CX_SomMot_8,67_RH_CX_DorsAttn_Post_1,68_RH_CX_DorsAttn_Post_2,69_RH_CX_DorsAttn_Post_3,70_RH_CX_DorsAttn_Post_4,71_RH_CX_DorsAttn_Post_5,72_RH_CX_DorsAttn_PrCv_1,73_RH_CX_DorsAttn_FEF_1,74_RH_CX_SalVentAttn_TempOccPar_1,75_RH_CX_SalVentAttn_TempOccPar_2,76_RH_CX_SalVentAttn_FrOperIns_1,77_RH_CX_SalVentAttn_Med_1,78_RH_CX_SalVentAttn_Med_2,79_RH_CX_Limbic_OFC_1,80_RH_CX_Limbic_TempPole_1,81_RH_CX_Cont_Par_1,82_RH_CX_Cont_Par_2,83_RH_CX_Cont_PFCl_1,84_RH_CX_Cont_PFCl_2,85_RH_CX_Cont_PFCl_3,86_RH_CX_Cont_PFCl_4,87_RH_CX_Cont_Cing_1,88_RH_CX_Cont_PFCmp_1,89_RH_CX_Cont_pCun_1,90_RH_CX_Default_Par_1,91_RH_CX_Default_Temp_1,92_RH_CX_Default_Temp_2,93_RH_CX_Default_Temp_3,94_RH_CX_Default_PFCv_1,95_RH_CX_Default_PFCv_2,96_RH_CX_Default_PFCdPFCm_1,97_RH_CX_Default_PFCdPFCm_2,98_RH_CX_Default_PFCdPFCm_3,99_RH_CX_Default_pCunPCC_1,100_RH_CX_Default_pCunPCC_2,101_LH_SC_HIP,102_LH_SC_AMY,103_LH_SC_pTHA,104_LH_SC_aTHA,105_LH_SC_NAc,106_LH_SC_GP,107_LH_SC_PUT,108_LH_SC_CAU,109_RH_SC_HIP,110_RH_SC_AMY,111_RH_SC_pTHA,112_RH_SC_aTHA,113_RH_SC_NAc,114_RH_SC_GP,115_RH_SC_PUT,116_RH_SC_CAU
target-COX1_tracer-ps13_n-11_dx-hc_pub-kim2020,0.4769587516784668,0.5473769307136536,0.5563822388648987,0.666771650314331,0.8214934468269348,0.7163613438606262,0.5155807733535767,0.6277053356170654,0.7315961122512817,0.5112080574035645,0.5410847663879395,0.5033681988716125,0.5305432081222534,0.5916926264762878,0.5171605348587036,0.48185086250305176,0.5086295008659363,0.5278527736663818,0.5332728624343872,0.5077659487724304,0.4914986193180084,0.4777142107486725,0.48290783166885376,0.4935545027256012,0.46545180678367615,0.4907645285129547,0.503202497959137,0.48616522550582886,0.4496693015098572,0.45772677659988403,0.5004286766052246,0.4636330008506775,0.45947110652923584,0.5002915263175964,0.5057516694068909,0.586582362651825,0.48876482248306274,0.43941691517829895,0.4752059876918793,0.492694228887558,0.4914777874946594,0.49852362275123596,0.508641242980957,0.5055426359176636,0.47880101203918457,0.462170273065567,0.48362091183662415,0.48210254311561584,0.5402914881706238,0.49810951948165894,0.4628835618495941,0.5375933647155762,0.5110148191452026,0.7402455806732178,0.8078840970993042,0.6005936861038208,0.6428539752960205,0.7416594624519348,0.5025124549865723,0.5221875905990601,0.49015912413597107,0.525078296661377,0.5695530772209167,0.5833868980407715,0.5138959288597107,0.5196471214294434,0.5237213373184204,0.5184512138366699,0.5175983309745789,0.5524839758872986,0.48712876439094543,0.4769539535045624,0.46721458435058594,0.49329230189323425,0.4938371777534485,0.4733167886734009,0.46651291847229004,0.4640060067176819,0.5043057203292847,0.45073604583740234,0.49193328619003296,0.5263810753822327,0.50250244140625,0.5134703516960144,0.5172679424285889,0.47989389300346375,0.48672524094581604,0.4868324100971222,0.5577185750007629,0.4991300702095032,0.4378606379032135,0.4417867660522461,0.4767744541168213,0.506327748298645,0.4893343448638916,0.5051291584968567,0.47170281410217285,0.4826476275920868,0.5545172095298767,0.5060602426528931,0.6765639781951904,0.5138659477233887,0.5582214593887329,0.5512821674346924,0.4619036614894867,,0.5168868899345398,0.45278093218803406,0.6653080582618713,0.5006206631660461,0.5664346814155579,0.5195627808570862,0.4658137857913971,,0.5066267251968384,0.4596525728702545
target-A4B2_tracer-flubatine_n-30_dx-hc_pub-hillmer2016,0.23997029662132263,0.2539335787296295,0.24379035830497742,0.25386831164360046,0.2154163420200348,0.23616699874401093,0.27123990654945374,0.2697813808917999,0.24003443121910095,0.25238484144210815,0.2692186236381531,0.2687665522098541,0.3016585111618042,0.26184332370758057,0.2480677366256714,0.2471102625131607,0.28996267914772034,0.26968449354171753,0.26630017161369324,0.24696922302246094,0.2379148006439209,0.30692797899246216,0.28992801904678345,0.28624507784843445,0.2281675934791565,0.2778853476047516,0.309509813785553,0.29076164960861206,0.2790735065937042,0.26317986845970154,0.24330484867095947,0.19618090987205505,0.23734326660633087,0.27562883496284485,0.31228572130203247,0.2688063085079193,0.2936069965362549,0.2308146059513092,0.26194527745246887,0.27071788907051086,0.29497119784355164,0.256148099899292,0.2862958312034607,0.26747918128967285,0.2831804156303406,0.2730031907558441,0.30561619997024536,0.2954179346561432,0.2448873221874237,0.28578272461891174,0.2506374716758728,0.26483118534088135,0.26099827885627747,0.23805473744869232,0.24210840463638306,0.24084749817848206,0.2823948562145233,0.2442590296268463,0.26412343978881836,0.28319308161735535,0.2762504518032074,0.29929107427597046,0.30197179317474365,0.2586444914340973,0.25399449467658997,0.253497838973999,0.2872328460216522,0.2870958745479584,0.2829665243625641,0.2803463935852051,0.24716982245445251,0.3166627287864685,0.29219692945480347,0.2857847511768341,0.281968891620636,0.2797833979129791,0.2818041443824768,0.2845199704170227,0.249927818775177,0.2067943960428238,0.2949824631214142,0.2995739281177521,0.29996922612190247,0.3177073001861572,0.31018251180648804,0.306919127702713,0.2978289723396301,0.2883812189102173,0.27532529830932617,0.30382251739501953,0.2581903040409088,0.23369953036308289,0.2823598086833954,0.2705453932285309,0.288169801235199,0.27582046389579773,0.26905569434165955,0.2995828092098236,0.24783220887184143,0.28734394907951355,0.2633398771286011,0.23832443356513977,0.6509366631507874,0.7389223575592041,0.30472612380981445,,0.30487531423568726,0.3147857189178467,0.2671876549720764,0.2407408058643341,0.6449697613716125,0.7763890027999878,0.31994786858558655,,0.3127516806125641,0.31933164596557617
target-DAT_tracer-fepe2i_n-6_dx-hc_pub-sasaki2012,0.08034484833478928,0.09296252578496933,0.08138251304626465,0.09856747835874557,0.0883137583732605,0.08446910977363586,0.09883923828601837,0.10406975448131561,0.09359755367040634,0.09332381188869476,0.12291359156370163,0.09225363284349442,0.10129060596227646,0.09855078160762787,0.0946020781993866,0.09057444334030151,0.0960177332162857,0.09893651306629181,0.10091693699359894,0.08778038620948792,0.09185701608657837,0.10579869896173477,0.10417718440294266,0.09514748305082321,0.12628145515918732,0.12661340832710266,0.10498788952827454,0.09164539724588394,0.1031094491481781,0.08429528772830963,0.09261339902877808,0.08776967227458954,0.08296326547861099,0.10086984187364578,0.10837437212467194,0.09514781832695007,0.10147535055875778,0.09072205424308777,0.0989142507314682,0.09677185863256454,0.09811094403266907,0.09898731857538223,0.1022569090127945,0.08832573145627975,0.09919430315494537,0.08861399441957474,0.09837961196899414,0.1046336367726326,0.08194633573293686,0.09798508137464523,0.08012837916612625,0.0932902991771698,0.09503509104251862,0.0965769812464714,0.08359351754188538,0.08328516036272049,0.10483800619840622,0.09364619851112366,0.08682360500097275,0.11846532672643661,0.08846934884786606,0.09724549949169159,0.09716720879077911,0.09372600167989731,0.10100525617599487,0.09461236000061035,0.09886021912097931,0.09750953316688538,0.09934796392917633,0.10433133691549301,0.09217417985200882,0.09886062145233154,0.09863974899053574,0.09768393635749817,0.09196089208126068,0.11773067712783813,0.10345703363418579,0.09214566648006439,0.08826252073049545,0.08104471117258072,0.08845368772745132,0.09513801336288452,0.09205280244350433,0.09325459599494934,0.09282997250556946,0.08657605201005936,0.10126187652349472,0.09309086203575134,0.09854604303836823,0.09793814271688461,0.08241076022386551,0.07113479822874069,0.09384667128324509,0.09361852705478668,0.08708523213863373,0.09081168472766876,0.0828426256775856,0.09353789687156677,0.08601813018321991,0.09956181794404984,0.09423809498548508,0.11280237883329391,0.10663385689258575,0.11058788746595383,0.5802937746047974,,0.7387438416481018,0.6618789434432983,0.1081155315041542,0.11982553452253342,0.11317257583141327,0.1127568930387497,0.6192300915718079,,0.6862678527832031,0.6505693793296814
target-VMAT2_tracer-dtbz_n-76_dx-hc_pub-larsen2020,0.02911151945590973,0.023429548367857933,0.027572961524128914,0.013249777257442474,0.0215724129229784,0.024847377091646194,0.017622847110033035,0.013111996464431286,0.019728677347302437,0.020205775275826454,0.027237022295594215,0.020486537367105484,0.008273905143141747,0.008913450874388218,0.013026751577854156,0.022375453263521194,0.0094281155616045,0.013311723247170448,0.007703414186835289,0.0190338883548975,0.008982103317975998,0.01262901071459055,0.014102553017437458,0.01460693683475256,0.05290715768933296,0.042250942438840866,0.015215601772069931,0.026317942887544632,0.02675371617078781,0.015389673411846161,0.018737003207206726,0.01896880380809307,0.017136914655566216,0.013269498012959957,0.011752813123166561,0.024501513689756393,0.03555596247315407,0.01808399334549904,0.017616070806980133,0.018099218606948853,0.013679929077625275,0.030186831951141357,0.01589842699468136,0.0269366055727005,0.016020597890019417,0.015615994110703468,0.014149043709039688,0.015143956057727337,0.02089400589466095,0.03494630753993988,0.02465641312301159,0.02456272393465042,0.021781297400593758,0.011722415685653687,0.022093836218118668,0.02087775431573391,0.016483541578054428,0.01313181221485138,0.021879903972148895,0.03413687273859978,0.022374862805008888,0.01125695277005434,0.01112976111471653,0.01032477430999279,0.008629824966192245,0.012037895619869232,0.022463267669081688,0.01229440700262785,0.01070658303797245,0.011968154460191727,0.011326220817863941,0.015913303941488266,0.015272672288119793,0.021100230515003204,0.019545381888747215,0.05380578711628914,0.02491021156311035,0.020541399717330933,0.019431130960583687,0.02134210802614689,0.01433981116861105,0.016805801540613174,0.018460463732481003,0.01658868044614792,0.018717056140303612,0.017637040466070175,0.03430895134806633,0.02366006374359131,0.024239983409643173,0.02027519792318344,0.021534524857997894,0.02061370201408863,0.023587528616189957,0.02497667260468006,0.022429222241044044,0.024368057027459145,0.016107743605971336,0.01658100076019764,0.02317344956099987,0.03390449658036232,0.07926694303750992,0.11762569844722748,0.057622458785772324,0.05841817334294319,0.4365263879299164,,0.6163002848625183,0.5661240816116333,0.07284102588891983,0.12397783249616623,0.04797106236219406,0.05549430847167969,0.452078253030777,,0.6125694513320923,0.5374904870986938
target-VAChT_tracer-feobv_n-4_dx-hc_pub-tuominen,0.0905899778008461,0.0665203109383583,0.07693976908922195,0.06051302328705788,0.06941822171211243,0.07939121127128601,0.07227778434753418,0.06446611881256104,0.06927234679460526,0.10607069730758667,0.1344895213842392,0.10549328476190567,0.09448830038309097,0.09261142462491989,0.09883782267570496,0.07190139591693878,0.07707591354846954,0.06266553699970245,0.06926654279232025,0.07087639719247818,0.06216932460665703,0.07736849784851074,0.07818609476089478,0.08361517637968063,0.14738067984580994,0.11684071272611618,0.07541032135486603,0.1079222783446312,0.091288261115551,0.09183865785598755,0.1020161435008049,0.07839875668287277,0.06348823010921478,0.060780320316553116,0.07505887746810913,0.07204378396272659,0.09549733251333237,0.07528474181890488,0.08168178796768188,0.07973792403936386,0.06784956902265549,0.10469098389148712,0.0751727744936943,0.09679421037435532,0.08105603605508804,0.06818372756242752,0.06706058233976364,0.06633684039115906,0.0711863711476326,0.08159509301185608,0.07986758649349213,0.06767608970403671,0.06683850288391113,0.059167370200157166,0.07624916732311249,0.0719606801867485,0.06519095599651337,0.060256462544202805,0.10711999982595444,0.1414944976568222,0.11276569962501526,0.09562284499406815,0.1030644103884697,0.08465377986431122,0.06523660570383072,0.09762270748615265,0.07168134301900864,0.07655348628759384,0.06138861924409866,0.05865522846579552,0.0632062777876854,0.07562629878520966,0.07687848806381226,0.0793488547205925,0.08171559870243073,0.13622327148914337,0.08701818436384201,0.10174208879470825,0.09834916144609451,0.07123713195323944,0.06756384670734406,0.06305129081010818,0.07881969958543777,0.07737787812948227,0.0796569362282753,0.07159192860126495,0.0913412943482399,0.09698064625263214,0.06904800981283188,0.0680227279663086,0.06586746126413345,0.0853741392493248,0.08801104873418808,0.09770669788122177,0.07456820458173752,0.08931297808885574,0.06727299094200134,0.0674552395939827,0.0694044753909111,0.07882250845432281,0.17106465995311737,0.21043294668197632,0.20961883664131165,0.19988319277763367,0.5216385722160339,,0.6984317302703857,0.567905843257904,0.16121388971805573,0.21349181234836578,0.186021089553833,0.19399107992649078,0.5486471056938171,,0.6927161812782288,0.5716922283172607
target-5HT1b_tracer-az10419369_n-36_dx-hc_pub-beliveau2017,0.29796919226646423,0.5131421089172363,0.48592567443847656,0.5768953561782837,0.819407045841217,0.669730544090271,0.5585665106773376,0.5526700019836426,0.5321709513664246,0.5079662799835205,0.505750298500061,0.5719121694564819,0.5605019330978394,0.5035707354545593,0.5079508423805237,0.486458420753479,0.5254759788513184,0.5139639377593994,0.4881664514541626,0.4854825437068939,0.473661333322525,0.6397207975387573,0.6129691004753113,0.5347040295600891,0.4310376048088074,0.6255267262458801,0.6200848817825317,0.5696496367454529,0.5078535079956055,0.618272602558136,0.5330066680908203,0.3468439280986786,0.48785915970802307,0.552340567111969,0.6306220889091492,0.522230327129364,0.4047411382198334,0.47072508931159973,0.5233781337738037,0.5396448969841003,0.559203028678894,0.6092332601547241,0.6329664587974548,0.5255497694015503,0.5969498753547668,0.6000054478645325,0.6320702433586121,0.6322402358055115,0.4375516176223755,0.5227541327476501,0.29993221163749695,0.48002922534942627,0.5026009678840637,0.6016672849655151,0.8245034217834473,0.4961532950401306,0.5733197927474976,0.5126381516456604,0.4668874442577362,0.4540606439113617,0.5484658479690552,0.5182045698165894,0.50554358959198,0.47708362340927124,0.4603561460971832,0.48266202211380005,0.5491688847541809,0.4912988245487213,0.5230045318603516,0.5168443322181702,0.46426308155059814,0.5845744013786316,0.5678750872612,0.5261278748512268,0.5083869695663452,0.49763578176498413,0.4924733340740204,0.5736543536186218,0.4900200366973877,0.3442060053348541,0.5465165972709656,0.5557143688201904,0.5798875093460083,0.5915759801864624,0.5724142789840698,0.5732780694961548,0.40391871333122253,0.5138099789619446,0.5094417929649353,0.5463502407073975,0.47439879179000854,0.38120248913764954,0.4808769226074219,0.5566185116767883,0.6032780408859253,0.4878771901130676,0.5605809688568115,0.5739405751228333,0.4283573627471924,0.49940618872642517,,,,,,,,,,,,,,,,
target-5HTT_tracer-dasb_n-100_dx-hc_pub-beliveau2017,0.4004424512386322,0.2878269851207733,0.3485332131385803,0.27413612604141235,0.3384396731853485,0.42667853832244873,0.30749401450157166,0.284292995929718,0.3534117639064789,0.40130165219306946,0.623477578163147,0.37828174233436584,0.2942824959754944,0.2844099998474121,0.3118453621864319,0.2675396502017975,0.27838292717933655,0.21293748915195465,0.26991209387779236,0.21288956701755524,0.23523329198360443,0.2757382094860077,0.2289770543575287,0.26795700192451477,0.5846587419509888,0.4538218379020691,0.27438464760780334,0.4049917459487915,0.3597259521484375,0.2625865638256073,0.4054765999317169,0.48076769709587097,0.23874305188655853,0.2200920581817627,0.28918197751045227,0.25938138365745544,0.3377569317817688,0.2943918704986572,0.29896605014801025,0.308083176612854,0.23280414938926697,0.44807153940200806,0.29439055919647217,0.3689208924770355,0.2858595550060272,0.22773592174053192,0.22802715003490448,0.22052249312400818,0.34280961751937866,0.3214700520038605,0.4451277554035187,0.35918092727661133,0.3021082282066345,0.31609606742858887,0.45503371953964233,0.4951995313167572,0.3112356960773468,0.36259299516677856,0.4860808849334717,0.6724438667297363,0.3864911198616028,0.3073282837867737,0.28776392340660095,0.31191495060920715,0.29323840141296387,0.3591286540031433,0.3104603886604309,0.29256176948547363,0.2418159693479538,0.23766127228736877,0.2438216358423233,0.2961353361606598,0.25878018140792847,0.3350321650505066,0.31374430656433105,0.5694399476051331,0.43762630224227905,0.385538786649704,0.43189874291419983,0.48777785897254944,0.23425403237342834,0.23184601962566376,0.31483879685401917,0.308272123336792,0.28991028666496277,0.24787813425064087,0.40812554955482483,0.41671043634414673,0.29813021421432495,0.2667202353477478,0.2741333544254303,0.47004058957099915,0.3569479286670685,0.4901410937309265,0.3377071022987366,0.38995060324668884,0.2539981007575989,0.2363136261701584,0.4020085036754608,0.38594871759414673,,,,,,,,,,,,,,,,
target-GABAa_tracer-flumazenil_n-16_dx-hc_pub-norgaard2021,0.6896100044250488,0.792264461517334,0.8048648834228516,0.7943459749221802,0.895393431186676,0.8582565784454346,0.7843181490898132,0.7574645280838013,0.7587005496025085,0.7853819727897644,0.7772946357727051,0.8271543979644775,0.7231706976890564,0.6579588651657104,0.6468610167503357,0.7703509330749512,0.7488347887992859,0.7065752148628235,0.6880894899368286,0.7078934907913208,0.6654085516929626,0.7838853597640991,0.7064531445503235,0.7874007225036621,0.6859894394874573,0.8177303671836853,0.7742505073547363,0.7185879349708557,0.7016668319702148,0.7437581419944763,0.7692966461181641,0.6623010039329529,0.7548241019248962,0.7376969456672668,0.7997632026672363,0.7587971091270447,0.6333212852478027,0.7574416995048523,0.7727360129356384,0.8097942471504211,0.7791414856910706,0.7797218561172485,0.8223323225975037,0.7596549391746521,0.7973275780677795,0.7587540149688721,0.7749288082122803,0.7503458857536316,0.7580340504646301,0.7832983732223511,0.696151614189148,0.7946099638938904,0.7567067742347717,0.8053852915763855,0.9169773459434509,0.8028692007064819,0.7665554881095886,0.746622622013092,0.7648278474807739,0.7658223509788513,0.7972514629364014,0.6967422962188721,0.6538630127906799,0.645771861076355,0.6452668309211731,0.6381409764289856,0.7654042840003967,0.6951677203178406,0.7021151185035706,0.6964618563652039,0.6778420805931091,0.7460951209068298,0.6946868300437927,0.7785567045211792,0.7559283375740051,0.7362250685691833,0.7013875246047974,0.7285844683647156,0.7514065504074097,0.6681711077690125,0.7465683817863464,0.7626650929450989,0.7858090400695801,0.7684829831123352,0.7491975426673889,0.7512550950050354,0.6348168849945068,0.6858140826225281,0.7472554445266724,0.7613563537597656,0.7481350898742676,0.6986888647079468,0.7638738751411438,0.7568619251251221,0.7946362495422363,0.7535332441329956,0.7485261559486389,0.7196121215820312,0.7612289786338806,0.7855098247528076,,,,,,,,,,,,,,,,
target-NMDA_tracer-ge179_n-29_dx-hc_pub-galovic2021,0.542648434638977,0.6189107298851013,0.6149454116821289,0.6078885793685913,0.6280205845832825,0.6167492270469666,0.649480402469635,0.6262890696525574,0.6206715106964111,0.6269832849502563,0.6322290301322937,0.6176583766937256,0.5853056907653809,0.5826974511146545,0.553406834602356,0.6321581602096558,0.6016727685928345,0.6200338006019592,0.5920208692550659,0.6052702069282532,0.5803818106651306,0.62666255235672,0.5969139933586121,0.6323316097259521,0.6150503754615784,0.6699755191802979,0.6328588128089905,0.5886545777320862,0.6080130934715271,0.5568760633468628,0.6192043423652649,0.5696755647659302,0.6308538317680359,0.614004373550415,0.6224988102912903,0.6627416014671326,0.6201867461204529,0.6257323026657104,0.6374233365058899,0.6331817507743835,0.651203989982605,0.6365022659301758,0.6096594929695129,0.6103180646896362,0.5899165868759155,0.5802799463272095,0.6024062037467957,0.619959831237793,0.6187315583229065,0.6670322418212891,0.5568132996559143,0.6112328767776489,0.62729412317276,0.6144081950187683,0.6425505876541138,0.5950028300285339,0.6456313133239746,0.6080687642097473,0.6279053688049316,0.6348922252655029,0.6118455529212952,0.5956934094429016,0.5938392877578735,0.5782186388969421,0.5582212805747986,0.5525285601615906,0.6678470373153687,0.6018128395080566,0.627265214920044,0.6120718717575073,0.5720890760421753,0.6304015517234802,0.6033097505569458,0.6333295702934265,0.6261192560195923,0.6560696363449097,0.6006500720977783,0.5975514054298401,0.6159139275550842,0.5868961811065674,0.6298587322235107,0.6464292407035828,0.6051064729690552,0.6234127879142761,0.6354291439056396,0.6122623682022095,0.6369075179100037,0.6185195446014404,0.6444653868675232,0.6611531376838684,0.6403161883354187,0.6020793318748474,0.6432817578315735,0.629967212677002,0.6162202954292297,0.6272927522659302,0.5964438915252686,0.6242752075195312,0.6127675175666809,0.6722791194915771,0.6840946078300476,0.5630968809127808,0.8171612024307251,0.7776409983634949,0.6838847398757935,,0.7806442379951477,0.7152116298675537,0.674654483795166,0.5661956667900085,0.8019664287567139,0.8258394598960876,0.6970205903053284,,0.7564100027084351,0.6803508400917053
target-5HTT_tracer-dasb_n-18_dx-hc_pub-savli2012,0.10461346805095673,0.05523579940199852,0.09557006508111954,0.06366747617721558,0.10497350990772247,0.11593963950872421,0.07195029407739639,0.058414459228515625,0.09917221963405609,0.11354348808526993,0.1520233452320099,0.09894679486751556,0.04963031783699989,0.046615492552518845,0.052725665271282196,0.06792865693569183,0.05804713815450668,0.02758311666548252,0.04345017671585083,0.045415204018354416,0.02501143515110016,0.046210117638111115,0.024631081148982048,0.059641893953084946,0.19437506794929504,0.12034259736537933,0.05905349180102348,0.09280763566493988,0.0823991447687149,0.03435647487640381,0.10703378915786743,0.12670135498046875,0.05171508714556694,0.027540132403373718,0.053494151681661606,0.06499891728162766,0.12466201931238174,0.07995513081550598,0.06801809370517731,0.0728684738278389,0.0387374609708786,0.14078986644744873,0.06184939667582512,0.10414411127567291,0.06765902042388916,0.03483176603913307,0.030858926475048065,0.02692076750099659,0.08406342566013336,0.09616843611001968,0.09146475791931152,0.0576455183327198,0.06109358370304108,0.06696408241987228,0.12855534255504608,0.10641980171203613,0.04883763939142227,0.08233170956373215,0.10606236010789871,0.15155957639217377,0.09485054016113281,0.052191466093063354,0.049379609525203705,0.051133494824171066,0.04570663347840309,0.05483517050743103,0.054922185838222504,0.04728156700730324,0.02368398755788803,0.02031620778143406,0.03889116272330284,0.0483488067984581,0.03032592311501503,0.06212344020605087,0.06446211040019989,0.15514318645000458,0.0893540233373642,0.06479499489068985,0.10403182357549667,0.11649469286203384,0.032918814569711685,0.03101964108645916,0.06909650564193726,0.05845261365175247,0.0622335821390152,0.04016334190964699,0.13156262040138245,0.08651353418827057,0.06776957958936691,0.04066121578216553,0.05708268657326698,0.11180262267589569,0.07355989515781403,0.13304127752780914,0.07892069220542908,0.098362497985363,0.03586212173104286,0.03356541693210602,0.09602920711040497,0.10021574050188065,0.1326904296875,0.36159858107566833,0.4890108108520508,0.42140114307403564,0.44440269470214844,,0.4426252841949463,0.23133210837841034,0.1130475327372551,0.34773552417755127,0.4178329110145569,0.42593055963516235,0.48126450181007385,,0.43105190992355347,0.23062649369239807
